2022-07-02 00:02:39.645 +0500: INFO - 01-unkn00-1999992 - Info: Stopping bsf.adapter.core.workflowConfiguration - done (main, com.corisecio.bsf.adapter.core.workflowConfiguration.Activator)
2022-07-02 00:02:39.645 +0500: INFO - 05-pers01-1300003 - Stopping bundle com.corisecio.bsf.sin.onASConsole (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.645 +0500: INFO - 05-pers01-1300004 - Stopping bundle com.corisecio.bsf.sin.onASConsole - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.660 +0500: INFO - 05-pers01-1300003 - Stopping bundle com.corisecio.bsf.skm.base (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.660 +0500: INFO - 05-pers01-1300004 - Stopping bundle com.corisecio.bsf.skm.base - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.754 +0500: INFO - 01-unkn00-1999992 - Info: Database shut down normally (main, com.corisecio.bsf.adapter.persistence.Activator)
2022-07-02 00:02:39.785 +0500: INFO - 01-unkn00-1999992 - Info: Stopping bsf.adapter.core.workflow (main, com.corisecio.bsf.adapter.core.workflow.Activator)
2022-07-02 00:02:39.785 +0500: INFO - 01-unkn00-1999992 - Info: Stopping bsf.adapter.core.workflow - done (main, com.corisecio.bsf.adapter.core.workflow.Activator)
2022-07-02 00:02:39.785 +0500: INFO - 01-unkn00-1999992 - Info: Stoppig com.corisecio.bsf.adapter.util.crypto (main, com.corisecio.bsf.adapter.util.crypto.Activator)
2022-07-02 00:02:39.785 +0500: INFO - 01-unkn00-1999992 - Info: Stoppig com.corisecio.bsf.adapter.util.crypto - done (main, com.corisecio.bsf.adapter.util.crypto.Activator)
2022-07-02 00:02:39.785 +0500: INFO - 05-bahb01-1300003 - Stopping bundle bsf.adapter.http.base (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.785 +0500: INFO - 05-bahb01-1300004 - Stopping bundle bsf.adapter.http.base - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.801 +0500: INFO - 01-unkn00-1999992 - Info: Stopping ... gc (Thread-24, com.corisecio.bsf.adapter.http.base.GC)
2022-07-02 00:02:39.801 +0500: INFO - 01-unkn00-1999992 - Info: Stopping Bundles ............................. DONE (main, com.corisecio.bsf.adapter.core.main.AdapterManager)
2022-07-02 00:02:39.801 +0500: INFO - 01-unkn00-1999992 - Info: Unregister KeyStoreService... (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.801 +0500: INFO - 01-bacm01-1300004 - Stopping bundle bsf.adapter.core.main - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.801 +0500: INFO - 01-bsca01-1300003 - Stopping bundle ${0} (main, com.corisecio.bsf.adapter.core.adapter.Activator)
2022-07-02 00:02:39.801 +0500: INFO - 01-bsca01-1300004 - Stopping bundle ${0} - done (main, com.corisecio.bsf.adapter.core.adapter.Activator)
2022-07-02 00:02:39.801 +0500: INFO - 01-bacl01-1300003 - Stopping bundle bsf.adapter.core.logging (main, com.corisecio.bsf.adapter.core.logging.Activator)
2022-07-02 00:02:39.801 +0500: INFO - 01-bacl01-1300004 - Stopping bundle bsf.adapter.core.logging - done (main, com.corisecio.bsf.adapter.core.logging.Activator)
2022-07-02 00:02:39.801 +0500: WARN - shutting down logging system.... (main, com.corisecio.bsf.adapter.core.logging.console.ConsoleLoggerFactory)
